revision;newArtefactsReferencingEditedOnes
/home/taes/taes//projects/curator/revisions/rev_a3e3805_d8fa7e0/rev_a3e3805-d8fa7e0.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_b68fa6b_b912828/rev_b68fa6b-b912828.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_883899d_f512f77/rev_883899d-f512f77.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_8143ef6_501ba19/rev_8143ef6-501ba19.revisions;0
/home/taes/taes//projects/liferay-plugins/revisions/rev_77e5f0d_40dabe0/rev_77e5f0d-40dabe0.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_a613bef_34c7b31/rev_a613bef-34c7b31.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_7d88093_1943bcf/rev_7d88093-1943bcf.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_005ef1b_8266783/rev_005ef1b-8266783.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_322dd0a_f116c14/rev_322dd0a-f116c14.revisions;0
/home/taes/taes//projects/curator/revisions/rev_b9ef1e1_22c24e7/rev_b9ef1e1-22c24e7.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_34e8862_745fa5f/rev_34e8862-745fa5f.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_670912b_01fd903/rev_670912b-01fd903.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_66efefb_a60086b/rev_66efefb-a60086b.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_52bc17c_a853ff2/rev_52bc17c-a853ff2.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_948fd23_e706432/rev_948fd23-e706432.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_9224295_026e99d/rev_9224295-026e99d.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_dd64dd0_8ff804b/rev_dd64dd0-8ff804b.revisions;0
/home/taes/taes//projects/curator/revisions/rev_7c28a76_bc66205/rev_7c28a76-bc66205.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_6260932_efcd983/rev_6260932-efcd983.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_3559c04_16c9d5b/rev_3559c04-16c9d5b.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_62d56c2_b7521f8/rev_62d56c2-b7521f8.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_c2e9822_9b24b0d/rev_c2e9822-9b24b0d.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_b308375_38b60c8/rev_b308375-38b60c8.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_851f4b1_91698a9/rev_851f4b1-91698a9.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_c01b27b_cebd3d0/rev_c01b27b-cebd3d0.revisions;0
/home/taes/taes//projects/curator/revisions/rev_e955ad6_a46c726/rev_e955ad6-a46c726.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_9b82960_8724f97/rev_9b82960-8724f97.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_b0d6690_a9c2108/rev_b0d6690-a9c2108.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_08396f3_a1cee2e/rev_08396f3-a1cee2e.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_9ddd72e_4f2f685/rev_9ddd72e-4f2f685.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_4c5fabf_e8d6923/rev_4c5fabf-e8d6923.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_6b53579_a2d6ecf/rev_6b53579-a2d6ecf.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_8eed34e_cebd3d0/rev_8eed34e-cebd3d0.revisions;0
/home/taes/taes//projects/curator/revisions/rev_51b8c3e_2b3f46a/rev_51b8c3e-2b3f46a.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_d34a066_1b0ee89/rev_d34a066-1b0ee89.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_a9c2108_d352f86/rev_a9c2108-d352f86.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_4f318d2_975b939/rev_4f318d2-975b939.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_7f54c32_4f2f685/rev_7f54c32-4f2f685.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_cf10b73_c19aa81/rev_cf10b73-c19aa81.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_aac4547_0adbea8/rev_aac4547-0adbea8.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_b0d7a3e_6abbab9/rev_b0d7a3e-6abbab9.revisions;0
/home/taes/taes//projects/curator/revisions/rev_807c4ea_7faf2cf/rev_807c4ea-7faf2cf.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_bf5b268_eaa8fc9/rev_bf5b268-eaa8fc9.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_3e06502_49c14ab/rev_3e06502-49c14ab.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_9fcb0d2_8ed5166/rev_9fcb0d2-8ed5166.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_8af072c_7ce4ff8/rev_8af072c-7ce4ff8.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_a2a4799_1b2eac5/rev_a2a4799-1b2eac5.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_dab12e3_d8a53e8/rev_dab12e3-d8a53e8.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_d5876bb_b813096/rev_d5876bb-b813096.revisions;0
/home/taes/taes//projects/curator/revisions/rev_469da5e_a646e54/rev_469da5e-a646e54.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_b4d81cd_2789c87/rev_b4d81cd-2789c87.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_49c14ab_2a00245/rev_49c14ab-2a00245.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_8fbbb78_a258d06/rev_8fbbb78-a258d06.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_0c7d902_b8a94df/rev_0c7d902-b8a94df.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_8c42fac_c316b88/rev_8c42fac-c316b88.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_707fd07_6676593/rev_707fd07-6676593.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_4601a23_839a574/rev_4601a23-839a574.revisions;0
/home/taes/taes//projects/curator/revisions/rev_340f000_8b94324/rev_340f000-8b94324.revisions;0
/home/taes/taes//projects/archaius/revisions/rev_3badb5b_8c64604/rev_3badb5b-8c64604.revisions;0
/home/taes/taes//projects/ribbon/revisions/rev_60e7d92_936c34e/rev_60e7d92-936c34e.revisions;0
/home/taes/taes//projects/retrofit/revisions/rev_bfc1fae_cce9640/rev_bfc1fae-cce9640.revisions;0
/home/taes/taes//projects/atlas/revisions/rev_602b329_3016eae/rev_602b329-3016eae.revisions;0
/home/taes/taes//projects/jodd/revisions/rev_fa133ef_2e3ee1e/rev_fa133ef-2e3ee1e.revisions;0
/home/taes/taes//projects/zuul/revisions/rev_dd38704_64d6088/rev_dd38704-64d6088.revisions;0
/home/taes/taes//projects/elephant-bird/revisions/rev_1416fa5_839a574/rev_1416fa5-839a574.revisions;0
/home/taes/taes//projects/curator/revisions/rev_171a746_11032b3/rev_171a746-11032b3.revisions;0
